Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,15317521.31,587287.35,2244299.40,9125,0,13791,0,19622,0,1132,0,55,0.6673109942570601,13512
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,14813661.50,360339.18,110090.00,4428,0,2153,0,9200,0,1212,0,57,0.9346537617685104,11100
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,884286.49,14352.10,7600.00,263,0,337,0,791,0,83,0,5,0.7944327156481722,780
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,4121320.61,4293247.29,5349564.00,4116,0,2893,0,8521,0,1129,0,35,0.9635159850376437,15708
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,5521736.78,669177.02,2712051.00,584,0,271,0,1432,0,196,0,55,0.14539105679326175,14052
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,342125.16,182965.26,672511.00,281,0,69,0,603,0,262,0,11,0.9269253950515561,1392
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,2243978.18,1038476.20,323304.85,1076,0,358,0,2047,0,321,0,24,0.9145998292824111,2808
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,3194159.43,1064359.04,419005.26,1073,0,381,0,2148,0,264,0,28,0.9490988636174646,2808
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1593659.37,463300.34,436066.62,560,0,351,0,1524,0,232,0,23,0.8654590483451093,1968
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,16195071.16,0.00,0,5620,0,2337,0,13160,0,1822,56,0.9755940768789486,23604
